end|hp_id|index|score|start
164.0|HP:0001511|0.0|1|126.0
189.0|HP:0001249|0.0|1|166.0
209.0|HP:0001252|0.0|1|191.0
38.0|HP:0009830|1.0|1|28.0
180.0|HP:0006554|2.0|1|161.0
260.0|HP:0001392|2.0|1|247.0
326.0|HP:0032320|2.0|1|318.0
375.0|HP:0001511|2.0|1|342.0
399.0|HP:0001324|2.0|1|384.0
411.0|HP:0001251|2.0|1|405.0
629.0|HP:0001511|2.0|1|596.0
660.0|HP:0001249|2.0|1|637.0
686.0|HP:0001252|2.0|1|668.0
737.0|HP:0001397|2.0|1|728.0
770.0|HP:0000819|2.0|1|753.0
187.0|HP:0001510|4.0|1|169.0
112.0|HP:0010864|5.0|1|82.0
143.0|HP:0001257|5.0|1|136.0
161.0|HP:0100022|5.0|1|144.0
191.0|HP:0001252|5.0|1|173.0
241.0|HP:0032320|5.0|1|233.0
321.0|HP:0100633|5.0|1|310.0
100.0|HP:0002342|6.0|1|68.0
180.0|HP:0001397|6.0|1|171.0
217.0|HP:0000365|6.0|1|205.0
249.0|HP:0000819|6.0|1|232.0
273.0|HP:0001250|6.0|1|265.0
207.0|HP:0001399|7.0|1|194.0
234.0|HP:0001397|7.0|1|225.0
458.0|HP:0001511|7.0|1|454.0
52.0|HP:0004325|8.0|1|41.0
75.0|HP:0032320|14.0|1|67.0
92.0|HP:0002595|15.0|1|87.0
20.0|HP:0032320|21.0|1|12.0
207.0|HP:0032320|36.0|1|198.0
341.0|HP:0001511|36.0|1|303.0
366.0|HP:0001249|36.0|1|343.0
386.0|HP:0001252|36.0|1|368.0
113.0|HP:0001257|37.0|1|103.0
171.0|HP:0000252|37.0|1|159.0
239.0|HP:0002342|37.0|1|207.0
54.0|HP:0001249|38.0|1|31.0
230.0|HP:0032320|38.0|1|222.0
257.0|HP:0001249|38.0|1|234.0
84.0|HP:0032316|39.0|1|68.0
112.0|HP:0001249|39.0|1|89.0
255.0|HP:0001399|39.0|1|242.0
326.0|HP:0001397|39.0|1|317.0
73.0|HP:0001396|40.0|1|62.0
141.0|HP:0001396|42.0|1|130.0
90.0|HP:0001406|42.0|1|66.0
109.0|HP:0001392|43.0|1|96.0
132.0|HP:0001396|43.0|1|121.0
188.0|HP:0012443|44.0|1|166.0
269.0|HP:0000252|44.0|1|257.0
26.0|HP:0009879|45.0|1|2.0
237.0|HP:0001392|45.0|1|224.0
304.0|HP:0001392|45.0|1|291.0
459.0|HP:0001399|45.0|1|446.0
89.0|HP:0032320|47.0|1|80.0
700.0|HP:0032320|53.0|1|692.0
106.0|HP:0007269|58.0|1|83.0
104.0|HP:0006517|76.0|1|84.0
103.0|HP:0001510|81.0|1|85.0
87.0|HP:0001406|103.0|1|63.0
185.0|HP:0001396|105.0|1|174.0
64.0|HP:0001399|129.0|1|51.0
102.0|HP:0001257|134.0|1|92.0
50.0|HP:0006808|134.0|1|24.0
170.0|HP:0002352|138.0|1|151.0
86.0|HP:0000253|141.0|1|62.0
141.0|HP:0001250|141.0|1|133.0
136.0|HP:0001392|157.0|1|123.0
63.0|HP:0006554|161.0|1|44.0
29.0|HP:0006554|166.0|1|10.0
191.0|HP:0001399|170.0|1|178.0
214.0|HP:0009830|170.0|1|193.0
234.0|HP:0001272|170.0|1|216.0
246.0|HP:0001251|170.0|1|240.0
