Unnamed: 0|Unnamed: 1|n|ntEVNs|n.1|mtEVNs
Demographics|Age (mean)|14|35.5 years|6|19.7 years
Demographics|Female|14|50%|6|17%
Demographics|Male|14|50%|6|83%
Tumor lateralization|Right|14|64%|6|50%
Tumor lateralization|Left|14|36%|6|50%
Radiographic features|Cystic changes|12|33%|6|0%
Radiographic features|Mass effect|12|33%|6|33%
Radiographic features|Perilesional edema|12|11%|6|0%
Radiographic features|Hypointense on T1|12|44%|6|50%
Radiographic features|Hyperintense on T2|12|100%|6|100%
Radiographic features|Contrast enhancing|12|56%|6|17%
Histology|Hypervascular|9|33%|2|0%
Histology|Hypovascular|9|11%|2|100%
Histology|Calcifications|5|80%|3|0%
Histology|Mitoses (≥ 1/HPF)|8|100%|1|0%
Histology|Necrosis|8|0%|1|0%
Immunohistochemistry|Syn (+)|12|100%|5|100%
Immunohistochemistry|GFAP (+)|6|83%|3|67%
Immunohistochemistry|NF|2|50%|1|100%
Immunohistochemistry|NSE|2|100%|No studies|No studies
Immunohistochemistry|NeuN|No studies|No studies|3|100%
Immunohistochemistry|MAP-2|1|100%|1|100%
Surgical condition|STR|13|31%|4|0%
Surgical condition|GTR|13|69%|4|100%
Adjuvant therapy|Radiation|9|33%|4|0%
Outcome|Length of follow-up (mean)|13|22.4 months|5|11.2 months
Outcome|NED|13|77%|5|100%
